URL,Category,Title
https://cdnb.artstation.com/p/assets/images/images/043/477/181/large/azzurro-batic-img-6212.jpg?1637365647,WEST END BREWERY,West End Full Mural
https://cdna.artstation.com/p/assets/images/images/043/477/188/large/azzurro-batic-img-6227.jpg?1637365672,WEST END BREWERY,West End Portrait Artist Shot
https://cdnb.artstation.com/p/assets/images/images/043/479/237/large/azzurro-batic-skyworldgreatpic.jpg?1637374865,ALDINGA LIBRARY,Full Mural
https://cdna.artstation.com/p/assets/images/images/043/484/432/large/azzurro-batic-cb42a3a0-1a69-41aa-bf30-5cbf4ed03e15.jpg?1637402585,ALIMENTARY EATERY,FIREPLACE Apron Artist
https://cdna.artstation.com/p/assets/images/images/095/272/926/large/azzurro-batic-screenshot-2026-01-11-at-8-43-42-pm.webp?1768128684,ADELAIDE VET,Great MYRKA Shot 2
https://cdnb.artstation.com/p/assets/images/images/087/256/709/large/azzurro-batic-47095cfc-ebd0-4ee0-b936-19ad8abf053c.jpg?1745328164,CHRISTIES BEACH,Full Mural
https://cdnb.artstation.com/p/assets/images/images/043/484/145/large/azzurro-batic-img-3773.jpg?1637401600,FIG AND VINE,Fig and Vine Full Mural
https://cdna.artstation.com/p/assets/images/images/043/481/978/large/azzurro-batic-18451422-1287743791321958-7917482225029946834-o.jpg?1637392209,CLINKNOORD AMSTERDAM,Amsterdamn Artist
https://cdna.artstation.com/p/assets/images/images/087/254/974/large/azzurro-batic-1de118ff-e1b9-44d2-8353-0e28da1d68df.jpg?1745324893,SAIGON OI VIETNAMESE,Artist shot
https://cdnb.artstation.com/p/assets/images/images/087/254/701/large/azzurro-batic-c92fb1c4-f7a8-4bbf-a059-7b6c8d08d088.jpg?1745324414,WAVES SWIM SCHOOL,Looking Outside
https://cdnb.artstation.com/p/assets/images/images/043/477/711/large/azzurro-batic-snippy.jpg?1637367192,FAIR ESPRESSO CENTRAL MARKETS,Full Mural
https://cdnb.artstation.com/p/assets/images/images/087/062/025/large/azzurro-batic-mollys-finished-x.jpg?1744791846,MOLLY's,Feature Wall
https://cdna.artstation.com/p/assets/images/images/043/484/468/large/azzurro-batic-azzy-batic-mural-1.jpg?1637402777,TEA TREE PLAZA INTERCHANGE,Main Walkway
